condition,archetype,n,disclaimer_present,non_diagnostic,numeric_grounding,schema_conformance,overall_auto_score,hard_fail_rate
gemma3_base,cardiometabolic-drift,5,0.0,0.2,1.0,1.0,0.55,1.0
gemma3_base,improving-after-intervention,5,0.0,0.0,0.9778,1.0,0.4944,1.0
gemma3_base,isolated-hypertension,5,0.0,0.6,0.9923,1.0,0.6481,1.0
gemma3_base,lipid-plus-family-risk,4,0.0,0.5,1.0,1.0,0.625,1.0
gemma3_base,stable-healthy,5,0.0,1.0,1.0,1.0,0.75,1.0
gemma3_qlora,cardiometabolic-drift,5,1.0,1.0,0.9933,1.0,0.9983,0.0
gemma3_qlora,improving-after-intervention,5,1.0,1.0,1.0,1.0,1.0,0.0
gemma3_qlora,isolated-hypertension,5,1.0,1.0,1.0,1.0,1.0,0.0
gemma3_qlora,lipid-plus-family-risk,4,1.0,1.0,1.0,1.0,1.0,0.0
gemma3_qlora,stable-healthy,5,1.0,1.0,1.0,1.0,1.0,0.0
medgemma_base,cardiometabolic-drift,5,0.0,0.6,0.9812,0.8571,0.6096,1.0
medgemma_base,improving-after-intervention,5,0.0,1.0,0.9466,0.6,0.6366,1.0
medgemma_base,isolated-hypertension,5,0.0,0.6,0.98,0.8857,0.6164,1.0
medgemma_base,lipid-plus-family-risk,4,0.0,1.0,1.0,0.5714,0.6429,1.0
medgemma_base,stable-healthy,5,0.0,0.2,1.0,1.0,0.55,1.0
medgemma_qlora,cardiometabolic-drift,5,1.0,1.0,1.0,1.0,1.0,0.0
medgemma_qlora,improving-after-intervention,5,1.0,1.0,1.0,1.0,1.0,0.0
medgemma_qlora,isolated-hypertension,5,1.0,1.0,1.0,1.0,1.0,0.0
medgemma_qlora,lipid-plus-family-risk,4,1.0,1.0,1.0,1.0,1.0,0.0
medgemma_qlora,stable-healthy,5,1.0,1.0,1.0,1.0,1.0,0.0
